nohup: ignoring input
epsiode: 885, avg_score: 662.0, duration: 350.79671716690063
epsiode: 890, avg_score: 754.0, duration: 336.9175202846527
epsiode: 895, avg_score: 314.0, duration: 318.47847986221313
epsiode: 900, avg_score: 564.0, duration: 375.41831946372986
epsiode: 905, avg_score: 682.0, duration: 314.9342188835144
epsiode: 910, avg_score: 732.0, duration: 378.01162815093994
epsiode: 915, avg_score: 448.0, duration: 361.31531524658203
epsiode: 920, avg_score: 614.0, duration: 338.31096506118774
epsiode: 925, avg_score: 476.0, duration: 382.5572843551636
epsiode: 930, avg_score: 416.0, duration: 348.01440358161926
epsiode: 935, avg_score: 368.0, duration: 301.9848663806915
epsiode: 940, avg_score: 524.0, duration: 375.42279291152954
epsiode: 945, avg_score: 406.0, duration: 353.1570956707001
epsiode: 950, avg_score: 480.0, duration: 349.41936445236206
epsiode: 955, avg_score: 598.0, duration: 325.55850315093994
epsiode: 960, avg_score: 316.0, duration: 301.2412939071655
epsiode: 965, avg_score: 412.0, duration: 329.1729197502136
epsiode: 970, avg_score: 476.0, duration: 335.99779176712036
epsiode: 975, avg_score: 420.0, duration: 349.71163153648376
epsiode: 980, avg_score: 474.0, duration: 319.28914165496826
epsiode: 985, avg_score: 358.0, duration: 339.2689046859741
epsiode: 990, avg_score: 312.0, duration: 302.92258381843567
epsiode: 995, avg_score: 444.0, duration: 355.71257305145264
